grid,table_name,item,kind,definition
3,athlete_equipment,idx_equipment_profile,index,CREATE INDEX idx_equipment_profile ON public.athlete_equipment USING btree (profile_id)
3,athlete_equipment,idx_equipment_sport,index,CREATE INDEX idx_equipment_sport ON public.athlete_equipment USING btree (sport_key)
3,athlete_equipment,idx_equipment_status,index,CREATE INDEX idx_equipment_status ON public.athlete_equipment USING btree (status)
3,comment_likes,comment_likes_comment_id_profile_id_key,index,"CREATE UNIQUE INDEX comment_likes_comment_id_profile_id_key ON public.comment_likes USING btree (comment_id, profile_id)"
3,comment_likes,idx_comment_likes_profile,index,"CREATE INDEX idx_comment_likes_profile ON public.comment_likes USING btree (profile_id, created_at DESC)"
3,connection_suggestions,idx_connection_suggestions_dismissed,index,"CREATE INDEX idx_connection_suggestions_dismissed ON public.connection_suggestions USING btree (profile_id, dismissed) WHERE (dismissed = true)"
3,connection_suggestions,idx_connection_suggestions_profile,index,CREATE INDEX idx_connection_suggestions_profile ON public.connection_suggestions USING btree (profile_id)
3,connection_suggestions,idx_connection_suggestions_suggested_profile_id,index,CREATE INDEX idx_connection_suggestions_suggested_profile_id ON public.connection_suggestions USING btree (suggested_profile_id)
3,connection_suggestions,unique_suggestion,index,"CREATE UNIQUE INDEX unique_suggestion ON public.connection_suggestions USING btree (profile_id, suggested_profile_id)"
3,follows,follows_follower_id_following_id_key,index,"CREATE UNIQUE INDEX follows_follower_id_following_id_key ON public.follows USING btree (follower_id, following_id)"
3,follows,idx_follows_composite,index,"CREATE INDEX idx_follows_composite ON public.follows USING btree (follower_id, following_id, status)"
3,follows,idx_follows_follower,index,CREATE INDEX idx_follows_follower ON public.follows USING btree (follower_id)
3,follows,idx_follows_follower_status,index,"CREATE INDEX idx_follows_follower_status ON public.follows USING btree (follower_id, status)"
3,follows,idx_follows_following,index,CREATE INDEX idx_follows_following ON public.follows USING btree (following_id)
3,follows,idx_follows_following_status,index,"CREATE INDEX idx_follows_following_status ON public.follows USING btree (following_id, status)"
3,follows,idx_follows_status,index,CREATE INDEX idx_follows_status ON public.follows USING btree (status)
3,golf_rounds,idx_golf_rounds_course_id,index,CREATE INDEX idx_golf_rounds_course_id ON public.golf_rounds USING btree (course_id)
3,golf_rounds,idx_golf_rounds_course_prefix,index,"CREATE INDEX idx_golf_rounds_course_prefix ON public.golf_rounds USING btree (lower(course) COLLATE ""C"")"
3,golf_rounds,idx_golf_rounds_course_trgm,index,CREATE INDEX idx_golf_rounds_course_trgm ON public.golf_rounds USING gin (lower(course) gin_trgm_ops)
3,golf_rounds,idx_golf_rounds_date,index,CREATE INDEX idx_golf_rounds_date ON public.golf_rounds USING btree (date DESC)
3,golf_rounds,idx_golf_rounds_group_mirror,index,"CREATE UNIQUE INDEX idx_golf_rounds_group_mirror ON public.golf_rounds USING btree (group_post_id, profile_id)"
3,golf_rounds,idx_golf_rounds_profile_date,index,"CREATE INDEX idx_golf_rounds_profile_date ON public.golf_rounds USING btree (profile_id, date DESC)"
3,golf_rounds,idx_golf_rounds_profile_id,index,CREATE INDEX idx_golf_rounds_profile_id ON public.golf_rounds USING btree (profile_id)
3,performances,idx_performances_profile_id,index,CREATE INDEX idx_performances_profile_id ON public.performances USING btree (profile_id)
3,post_comments,idx_comments_created_by,index,CREATE INDEX idx_comments_created_by ON public.post_comments USING btree (created_by_user_id) WHERE (created_by_user_id IS NOT NULL)
3,post_comments,idx_comments_post,index,"CREATE INDEX idx_comments_post ON public.post_comments USING btree (post_id, created_at DESC)"
3,post_comments,idx_comments_post_created,index,"CREATE INDEX idx_comments_post_created ON public.post_comments USING btree (post_id, created_at DESC)"
3,post_comments,idx_post_comments_is_pinned,index,CREATE INDEX idx_post_comments_is_pinned ON public.post_comments USING btree (post_id) WHERE (is_pinned = true)
3,post_comments,idx_post_comments_parent_comment_id,index,CREATE INDEX idx_post_comments_parent_comment_id ON public.post_comments USING btree (parent_comment_id)
3,post_comments,idx_post_comments_pending_nudge,index,CREATE INDEX idx_post_comments_pending_nudge ON public.post_comments USING btree (created_at) WHERE ((status = 'pending_approval'::text) AND (approval_nudged_at IS NULL))
3,post_comments,idx_post_comments_post_id,index,CREATE INDEX idx_post_comments_post_id ON public.post_comments USING btree (post_id)
3,post_comments,idx_post_comments_profile_id,index,CREATE INDEX idx_post_comments_profile_id ON public.post_comments USING btree (profile_id)
3,post_comments,idx_post_comments_status_pending,index,CREATE INDEX idx_post_comments_status_pending ON public.post_comments USING btree (profile_id) WHERE (status <> 'published'::text)
3,post_likes,idx_post_likes_post,index,CREATE INDEX idx_post_likes_post ON public.post_likes USING btree (post_id)
3,post_likes,idx_post_likes_post_id,index,CREATE INDEX idx_post_likes_post_id ON public.post_likes USING btree (post_id)
3,post_likes,idx_post_likes_profile,index,"CREATE INDEX idx_post_likes_profile ON public.post_likes USING btree (profile_id, created_at DESC)"
3,post_likes,idx_post_likes_profile_id,index,CREATE INDEX idx_post_likes_profile_id ON public.post_likes USING btree (profile_id)
3,post_likes,post_likes_post_id_profile_id_key,index,"CREATE UNIQUE INDEX post_likes_post_id_profile_id_key ON public.post_likes USING btree (post_id, profile_id)"
3,post_media,idx_post_media_post_display,index,"CREATE INDEX idx_post_media_post_display ON public.post_media USING btree (post_id, display_order)"
3,post_media,idx_post_media_post_id,index,CREATE INDEX idx_post_media_post_id ON public.post_media USING btree (post_id)
3,post_media,idx_post_media_post_order,index,"CREATE INDEX idx_post_media_post_order ON public.post_media USING btree (post_id, display_order)"
3,posts,idx_posts_category_profile_created,index,"CREATE INDEX idx_posts_category_profile_created ON public.posts USING btree (post_category, profile_id, created_at DESC)"
3,posts,idx_posts_contest,index,CREATE INDEX idx_posts_contest ON public.posts USING btree (contest_id) WHERE (contest_id IS NOT NULL)
3,posts,idx_posts_created_at,index,CREATE INDEX idx_posts_created_at ON public.posts USING btree (created_at DESC)
3,posts,idx_posts_created_at_id_desc,index,"CREATE INDEX idx_posts_created_at_id_desc ON public.posts USING btree (created_at DESC, id DESC)"
3,posts,idx_posts_created_by,index,CREATE INDEX idx_posts_created_by ON public.posts USING btree (created_by_user_id) WHERE (created_by_user_id IS NOT NULL)
3,posts,idx_posts_event_id,index,CREATE INDEX idx_posts_event_id ON public.posts USING btree (event_id) WHERE (event_id IS NOT NULL)
3,posts,idx_posts_group_post_id,index,CREATE INDEX idx_posts_group_post_id ON public.posts USING btree (group_post_id)
3,posts,idx_posts_pending_nudge,index,CREATE INDEX idx_posts_pending_nudge ON public.posts USING btree (created_at) WHERE ((status = 'pending_approval'::text) AND (approval_nudged_at IS NULL))
3,posts,idx_posts_pinned,index,"CREATE INDEX idx_posts_pinned ON public.posts USING btree (profile_id, pinned_at DESC) WHERE (is_pinned = true)"
3,posts,idx_posts_profile_created,index,"CREATE INDEX idx_posts_profile_created ON public.posts USING btree (profile_id, created_at DESC)"
3,posts,idx_posts_profile_id,index,CREATE INDEX idx_posts_profile_id ON public.posts USING btree (profile_id)
3,posts,idx_posts_profile_visibility_created,index,"CREATE INDEX idx_posts_profile_visibility_created ON public.posts USING btree (profile_id, visibility, created_at DESC)"
3,posts,idx_posts_round_id,index,CREATE INDEX idx_posts_round_id ON public.posts USING btree (round_id)
3,posts,idx_posts_search_vector,index,CREATE INDEX idx_posts_search_vector ON public.posts USING gin (search_vector)
3,posts,idx_posts_shared_post_id,index,CREATE INDEX idx_posts_shared_post_id ON public.posts USING btree (shared_post_id) WHERE (shared_post_id IS NOT NULL)
3,posts,idx_posts_stat_line_date,index,"CREATE INDEX idx_posts_stat_line_date ON public.posts USING btree (profile_id, ((stats_data ->> 'date'::text))) WHERE ((stats_data ->> 'type'::text) = 'stat_line'::text)"
3,posts,idx_posts_stats_media,index,"CREATE INDEX idx_posts_stats_media ON public.posts USING btree (profile_id, created_at DESC) WHERE (((stats_data IS NOT NULL) AND (stats_data <> '{}'::jsonb)) OR (round_id IS NOT NULL))"
